2022,2021,Change,Company,Ownership,Industry,Rs cr,YoY change %,Rs cr,YoY change %,Rs cr,Rank,YoY change %,% of total income,Rs cr,% of Ebitda,Rs cr,Rs cr,(x),Rs cr,Rank,YoY change %,Rs cr,Rank,(%),(%),(in nos),Rank,RS Crore,(%)
264,186,-78,Whirlpool of India,MNC,Consumer Durables,6443,5.45,6197,5.03,566,246,60.98,8.79,16,3.82,1616,134,0.04,3897,344,22.92,3358,280,9.25,9.87,2668,256,21975,-25.34
265,274,9,Thermax,Anu Aga,Capital Goods,6398,30.27,6128,27.91,312,338,51.18,4.88,25,5.97,954,368,0.11,3998,334,7.24,3492,276,9.26,11.27,3758,204,23837,62.12
266,301,35,Jindal Poly Films,Bhavesh Jindal,Packaging,6358,49.02,5878,43.98,1196,137,51.25,18.81,32,2.24,120,1203,0.31,5634,281,40.26,3833,263,36.95,34.57,1740,307,4546,-10.12
267,209,-58,"Karur Vysya Bank
                                                      ^^","Diversified
                                              *",Banking,6357,-0.51,5588,2.14,673,218,87.34,10.59,2872,NAP,4926,70015,0,80149,69,7.26,7596,165,9.25,0.87,6761,142,4436,121.65
268,250,-18,IRB Infrastructure Developers,Virendra Mhaiskar,Infra Development,6355,15.82,5804,9.53,361,314,208.49,5.69,1894,73.56,1744,16697,1.33,40818,105,7.16,12566,115,3.71,6.19,NAVL,NAP,12949,-0.97
269,303,34,Fortis Healthcare,MNC,Healthcare,6344,48.89,5931,42.34,555,250,0,8.75,147,13.74,413,1255,0.2,10456,205,4.94,6178,191,7.45,7.75,2861,243,20195,14.4
270,240,-30,"Hatsun Agro Product
                                                      ^^",R. G. Chandramogan,FMCG,6329,10.89,6370,14.76,218,374,-11.54,3.44,107,15.43,40,1939,1.75,3067,375,15.64,1109,432,20.46,13.64,5541,158,23320,-31.04
271,214,-57,Shree Renuka Sugars,MNC,Sugar,6278,-2.33,6433,13.88,-139,460,0,NAP,393,99.92,76,5234,0,4683,309,22.39,-1775,490,NAP,NAP,1962,301,9110,110.69
272,267,-5,Sterlite Technologies,Anil Agarwal,Capital Goods,6223,23.9,5754,19.25,62,433,-77.51,1,241,45.13,530,3476,1.78,5585,283,9.32,1957,368,2.93,5.45,2691,254,7967,-39.58
273,217,-56,Jubilant Pharmova,Jubilant Bhartia Group,Pharma,6204,-2.6,6130,0.52,414,293,-50.48,6.67,145,12.69,984,3192,0.6,8612,226,11.96,5319,216,8.21,9.52,3627,210,6953,-38.99
274,NAP,NEW,PNB Housing Finance,GoI,NBFC,6201,-18.67,6196,-18.52,836,186,-10.05,13.49,4065,NAP,5216,53005,5.37,62877,81,-7.96,9872,142,8.9,7.85,1425,331,6869,-9.74
275,288,13,JSW Ispat Special Products,Savitri Devi Jindal,Metals,6180,36.24,6061,44.72,1,451,-99.29,0.02,271,57.38,139,2699,1.94,4148,329,3.65,867,452,0.03,2.14,2076,292,1440,-0.69
276,285,9,Mazagon Dock Shipbuilders,GoI,6144,32.92,5733,41.64,611,232,18.87,9.94,15,3.49,11480,12,0,4593,313,5.45,3858,259,15.45,17.08,1013,359,6341,152.24,
277,234,-43,DLF,K.P. Singh family,Real Estate,6138,3.25,5717,5.6,1501,116,37.24,24.45,625,41.14,932,4182,0.12,41741,104,-4.14,36362,48,2.78,4.7,223,393,91431,-4.98
278,300,22,Blue Star,Ashok Advani,Consumer Durables,6133,42.71,6046,41.8,168,398,67.13,2.73,46,13.39,270,554,0.54,1604,463,13.12,1018,441,17.66,19.72,2533,265,9961,25.69
279,216,-63,Manappuram Finance,V.P. Nandakumar,NBFC,6126,-3.9,6061,-4.26,1328,125,-22.96,21.68,2011,NAP,2697,24816,2.97,33201,118,8.21,8368,154,16.95,11.89,26970,37,10487,-44.24
280,309,29,KEI Industries,Anil Gupta,Basic Materials,6067,48.39,5727,36.95,376,311,39.5,6.2,40,6.86,360,355,0.17,2500,404,18.15,2136,348,19.24,23.74,1685,311,11000,71.54
281,NAP,NEW,"Sterlite Power Transmission
                                                      ^",Anil Agarwal,Power Services,6065,58.65,5197,148.4,440,284,-49.4,7.26,426,153.39,1350,2198,1.29,4428,318,5.3,1691,394,-7.22,7.2,NAVL,NAP,NAP,NAP
282,220,-62,"Emcure Pharmaceuticals
                                                      ^",Satish & Sunil Mehta,Drugs & Pharmaceuticals,6064,12.91,5855,16.33,703,213,67.84,11.59,176,13.23,308,2077,1.05,4416,320,-11.07,1988,366,32.98,25.08,NAVL,NAP,NAP,NAP
283,342,59,"IVL Dhunseri Petrochem Industries
                                                      ^^ ^",Indorama%comma% Dhunseri,Chemicals,6054,72.12,5933,72.13,328,329,67.44,5.42,36,6.6,69,371,0.31,1564,465,-3.04,1181,426,29.19,33.95,NAVL,NAP,NAP,NAP
284,258,-26,The Ramco Cements,P.R. Venketrama Raja,Cement,6038,14.47,6004,13.47,881,180,12.49,14.6,113,8.76,178,3950,0.6,10626,203,19.51,6619,180,14.46,9.4,3326,220,18863,-32.27
285,244,-41,Ipca Laboratories,Premchand Godha,"Drugs, Pharma",6026,6.14,5830,7.56,884,179,-22.45,14.67,11,0.85,641,807,0.15,6421,267,27.85,5492,213,17.87,20.21,15155,84,24770,-14.64
286,NAP,R-E 2012,Chemplast Sanmar,Sanmar Holdings,Basic Materials,5966,39.67,5892,55.1,649,223,58.17,10.87,322,26.87,1229,882,0.52,2677,396,44.2,106,477,-73.73,157.49,1074,354,8178,-42.48
